Trancas International Films,3.55
Lynda Obst Productions,3.55
Codeblack Entertainment,3.51
National Lampoon,3.5
Bob Industries,3.5
Little Stranger,3.5
Bona Film Group,3.49
United Artists,3.47
Hasbro,3.47
Alloy Entertainment,3.46
Island Pictures,3.44
FortyFour Studios,3.44
Fox 2000 Pictures,3.43
Houston King Productions,3.42
Kim Ki-Duk Film,3.4
Junebug Movie,3.4
MTV Films,3.39
Amblin Entertainment,3.38
HBO Films,3.38
The Cannon Group,3.37
ShadowCatcher Entertainment,3.37
DreamWorks,3.37
Filmax,3.37
Ladbroke,3.35
i5 Films,3.34
Goalpost Pictures,3.34
Saban Entertainment,3.33
Les Films du Losange,3.33
Chartoff-Winkler Productions,3.32
Macari/Edelstein,3.32
The Malpaso Company,3.3
Lorimar Film Entertainment,3.3
The Ladd Company,3.3
Twentieth Century Fox,3.29
Walt Disney Animation Studios,3.28
ContentFilm,3.27
Awesomeness Films,3.27
Kennedy Miller Productions,3.26
Northern Lights Entertainment,3.26
Reprisal Films,3.26
Digital Image Associates,3.25
Jerry Bruckheimer Films,3.25
Lionsgate,3.24
Mosaic,3.24
Touchstone Pictures,3.23
Big Dog Films,3.21
Castelao Producciones,3.21
Escape Artists,3.21
Gulfstream Pictures,3.2
Norman Twain Productions,3.19
Curmudgeon Films,3.19
Mirage Enterprises,3.18
Access Entertainment,3.18
Bronze Eye Productions,3.15
Party Productions,3.15
Hurwitz Creative,3.15
Skyscraper Films,3.14
Entertainment One,3.14
Picturehouse,3.13
Wildgaze Films,3.13
2.4.7. Films,3.12
Gravier Productions,3.12
Huayi Brothers,3.12
American Cinema Productions,3.11
Sedic International,3.11
Black Bicycle Entertainment,3.11
Prime Film Productions LLC,3.09
Lucille Ball Productions,3.08
Happy Madison Productions,3.08
Before The Door Pictures,3.08
Polygram Pictures,3.07
Imagine Films Entertainment,3.07
Miramax,3.06
Warner Independent Pictures (WIP),3.06
Screen Australia,3.06
TriStar Pictures,3.04
Cinema Line Film Corporation,3.04
Crystal Sky Worldwide,3.04
C & C Brown Production,3.02
Halloween VI Productions,3.02
PalmStar Media,3.02
Broken Road Productions,3.01
STX Entertainment,3.01
Relativity Media,2.98
Dreamworks Pictures,2.96
Kingsgate Films,2.96
Sony Pictures Entertainment (SPE),2.96
Huayi Brothers Pictures,2.95
Silver Screen Partners IV,2.94
Disneytoon Studios,2.94
Amen Ra Films,2.92
Centropolis Film Productions,2.92
Marvel Enterprises,2.92
Gary Sanchez Productions,2.92
2.0 Entertainment,2.92
HandMade Films,2.9
Carousel Productions (II),2.9
Nicolas Entertainment,2.88
Figment Films,2.88
Aggregate Films,2.88
Alive Films,2.87
Portman Entertainment Group,2.87
Lancaster Gate,2.86
Sidney Kimmel Entertainment,2.86
Capricorn,2.85
Jay Weston Productions,2.85
Gramercy Pictures (I),2.85
Polygram Filmed Entertainment,2.85
Clinica Estetico,2.85
Capcom Entertainment,2.84
Pathé Pictures International,2.84
Arnold Kopelson Productions,2.83
Dark Castle Entertainment,2.83
Spyglass Entertainment,2.83
Animal Logic,2.83
River Road Productions,2.82
4Kids Entertainment,2.82
Eon Productions,2.81
Dimension Films,2.81
EFTI,2.81
Filmways Pictures,2.79
Bellanova Films,2.79
Di Bonaventura Pictures,2.78
Josephson Entertainment,2.78
Artfire Films,2.77
Andrew Lauren Productions,2.77
Milkshake Films,2.76
THINKFilm,2.76
Cinema Group Ventures,2.75
USA Films,2.75
Archer Street Productions,2.75
Olympus Pictures,2.75
Charles H. Schneer Productions,2.74
Jon Shestack Productions,2.73
Element Pictures,2.72
Quad Productions,2.72
Warner Bros.,2.71
Bulbul Films,2.71
Euforia Film,2.71
Rumbalara Films,2.7
Indian Paintbrush,2.7
Mayhem Pictures,2.69
Lucamar Productions,2.69
BET Films,2.69
Tonik Productions,2.68
Warner Animation Group,2.68
DiNovi Pictures,2.67
Trimark Pictures,2.66
Also Known As Pictures,2.66
Breathless Associates,2.65
Alter Ego Entertainment,2.64
Atlas Entertainment,2.63
Image Organization,2.62
Enticing Entertainment,2.62
Craven-Maddalena Films,2.61
Cristaldifilm,2.6
Blue Rider Pictures,2.59
Riddick Canada Productions,2.59
LStar Capital,2.59
Route One Entertainment,2.59
Major Studio Partners,2.58
Goodspeed Productions,2.58
Chernin Entertainment,2.58
Amazon Studios,2.58
Hollywood Pictures,2.57
i am OTHER,2.57
Coach Carter,2.56
G-BASE,2.56
Sandollar Productions,2.55
Lakeshore Entertainment,2.54
Plan B Entertainment,2.53
Dharma Productions,2.52
Anonymous Content,2.52
Mandalay Entertainment,2.5
Aldamisa Entertainment,2.5
Abandon Entertainment,2.49
Lions Gate Films,2.46
1818 Productions,2.45
De Line Pictures,2.45
Donner/Shuler-Donner Productions,2.44
Metropolitan Filmexport,2.44
Paramount Players,2.44
Spacegate Productions,2.43
BlackWhite,2.43
Jersey Films,2.42
