star,hit rate,작품개수
Cathy Podewell,2.5915866666666667,1
Catriona MacColl,0.3096075,1
Cayden Boyd,1.4398531,1
Cedric the Entertainer,2.61051525,1
Chace Crawford,0.529639,1
Chad Michael Murray,1.719153025,1
Chadwick Boseman,2.7831977725000003,4
Chaney Kley,4.3171396363636365,1
Channing Tatum,6.094556672158955,10
Charles Bronson,2.172173108950261,9
Charles Grodin,3.943800066666667,2
Charlie Cox,1.964502,1
Charlie Hunnam,0.6189497574603174,3
Charlie Sheen,3.662070686273285,13
Charlize Theron,1.8498296303816022,10
Cheech Marin,0.3169719,1
Cher,2.8480384427838223,6
Chevy Chase,2.871110106260493,16
Chiara Mastroianni,3.121092876712329,1
Chieko Baishô,9.842268583333333,1
Chiwetel Ejiofor,2.5994993616849817,5
Chloe Bennet,2.40418932,1
Chloë Grace Moretz,3.3079070872208933,4
Chloë Sevigny,0.377575125,1
Choi Min-sik,5.063311333333333,1
Chow Yun-Fat,3.3302979844555054,5
Chris Brown,5.256146885416666,2
Chris Cooper,1.45094335,2
Chris Elliott,0.4069398888888889,1
Chris Evans,3.96574889860072,5
Chris Farley,0.9767369888888888,2
Chris Hemsworth,2.134051458580684,9
Chris Kattan,2.0408545427807487,2
Chris Klein,0.5290058177777778,3
Chris Makepeace,1.497308181818182,1
Chris Massoglia,0.982284575,1
Chris Messina,6.2695489,1
Chris O'Donnell,0.5872821880392156,2
Chris Pine,1.8331003121901672,8
Chris Pratt,6.2428003073029315,6
Chris Rock,2.536479181266896,7
Chris Sarandon,2.7691374444444445,1
Chris Stafford,1.24537,1
Christian Bale,2.2941819167905733,20
Christian Campbell,4.638284444444444,1
Christian Friedel,1.0733150555555555,1
Christian Slater,1.1090870642060837,7
Christina Hendricks,3.2577876000000003,2
Christina Ricci,0.9264767688888889,5
Christine Cavanaugh,3.4430377,1
Christine Ebersole,0.49416246153846155,1
Christoph Waltz,0.17488305882352942,1
Christopher Denham,3.1413925925925925,1
Christopher Eccleston,0.05844914285714286,1
Christopher George,6.77437,1
Christopher Gorham,0.680002,1
Christopher Guest,0.7309955,1
Christopher Lambert,1.2187801868504273,10
Christopher Lloyd,0.5669246307692307,1
Christopher McDonald,0.7283373333333333,1
Christopher Plummer,2.0602925,1
Christopher Reeve,1.003076170346908,5
Christopher Reid,5.403864488888889,3
Christopher Walken,0.869224001015274,7
Chuck Norris,2.976817979393573,11
Chyler Leigh,4.4312656666666665,1
Cillian Murphy,5.8750455624999995,2
Cindy Williams,0.8667684,1
Claire Bloom,0.2105078,1
Claire Danes,0.33494018999999997,2
Claire Foy,5.173428085271318,2
Clarence Williams III,1.972988,1
Cliff De Young,0.006732833333333334,1
Cliff Gorman,5.829521333333333,1
Clint Eastwood,3.234383933001789,22
Clive Owen,0.9705180827765651,7
Clu Gulager,3.55947,1
Colin Farrell,1.5394808403490394,14
Colin Firth,6.828032917841109,6
Colin Hanks,2.4069449444444446,1
Colin O'Donoghue,2.609745702702703,1
Colin Woodell,16.024987,1
Colm Meaney,0.4091378,1
Columbus Short,5.808547923076923,1
Connor Paolo,0.6236615384615385,1
Constance Wu,7.91474325,2
Corbin Allred,1.6800897435897435,1
Corey Haim,2.0854130208333332,2
Craig Bierko,1.1602555,1
Craig Sheffer,2.212846522727273,2
Craig T. Nelson,6.544245844673913,2
Craig Wasson,0.880194,1
Crispin Glover,1.4246409657894736,2
Cristina Raines,1.11178,1
Cuba Gooding Jr.,2.7406049497616194,7
Cybill Shepherd,1.017411875,1
Cyndi Lauper,0.10465616666666666,1
Cynthea Mercado,3.3019872727272728,1
D.B. Sweeney,2.03470571372549,2
DJ Qualls,2.3974913846153845,1
Dabney Coleman,0.073765,1
Dacre Montgomery,1.4233724,1
Daisy Ridley,4.148036657660274,4
Dakota Fanning,1.874089707553476,4
Dakota Johnson,7.724576837051435,4
Dale Midkiff,4.997403304347826,1
Damian Chapa,0.1284738,1
Damon Wayans,1.3595690816666668,4
Dan Aykroyd,1.6314649401807073,8
Dan Castellaneta,7.152190573333334,1
Dan Fogler,0.2464623076923077,1
Dan Monahan,17.32982692136752,3
Dan Stevens,0.5400102,1
Dana Carvey,2.7131875625,1
Dana Delany,0.2736628,1
Dana Kimmell,15.95220304347826,1
Dane Cook,2.66502777,2
Dane DeHaan,4.16458423857537,3
Daniel Brühl,2.552184447368421,1
Daniel Craig,3.338076596591044,9
Daniel Day-Lewis,1.9275927781741242,9
Daniel Hansen,1.1288868933333334,1
Daniel Jenkins,0.004259285714285715,1
Daniel Kaluuya,56.797590444444445,1
Daniel London,1.00349,1
Daniel Radcliffe,5.860804585147621,10
Daniel Valdez,1.2059562962962962,1
Daniella Alonso,2.5131848666666667,1
Danielle Harris,0.1952375,1
Danielle Panabaker,1.7037268,1
Danny Aiello,5.7377607692307695,1
Danny DeVito,1.3513106397934198,5
Danny Elfman,5.082847055555556,1
Danny Glover,2.1764008435070785,5
Danny McBride,0.5613974549098196,1
Danny Trejo,2.603689833333333,2
Darci Kistler,0.11157863157894737,1
Daryl Hannah,0.1302488,1
Daryl Sabara,5.186886263157895,1
Darío Grandinetti,9.285667878787878,1
Dave Bautista,2.0244340625,1
Dave Chappelle,2.1825025,1
Dave Goelz,0.9301505,1
Daveigh Chase,11.061762654276315,2
David Alan Basche,5.113377266666666,1
David Andrews,1.1031324761904762,1
David Arquette,1.4896301176190476,5
David Bowie,0.55663496,1
David Carradine,1.5795189,1
David Caruso,0.548477361111111,3
David Duchovny,1.656157082878788,5
David Harbour,1.10130578,1
David Hyde Pierce,0.907416,1
David Keith,0.42380130769230767,1
David Koechner,0.6769577,1
David Morse,0.027303571428571427,1
David Naughton,3.0669378,1
David Niven,0.40836236363636363,1
David Oyelowo,1.8099356285714283,3
David Paul,0.2,1
David Rasche,0.08353091666666666,1
David Schwimmer,0.7070485,1
David Spade,1.4065026586521043,5
David Strathairn,7.805884428571429,1
David Thewlis,0.9740526125,2
Dax Shepard,8.4083235,1
Dean-Charles Chapman,4.048669252631579,1
Debbie Harry,4.664163714285714,1
Debi Derryberry,3.4330845333333335,1
Deborah Foreman,2.5895526,1
Deborah Winters,0.5416975,1
Debra Winger,0.8165490073383459,5
Dee Wallace,9.600246466666666,3
Demetrius Shipp Jr.,1.39171745,1
Demi Lovato,3.2863924333333334,1
Demi Moore,1.8281578588636362,8
Demián Bichir,16.61598609090909,1
Denis Leary,3.767905148690293,2
Denise Richards,1.2649702068965518,1
Dennis Hopper,1.707632340425532,1
Dennis Miller,0.44469576923076926,1
Dennis Quaid,1.83239656295948,17
Denzel Washington,2.0549636131365094,33
Derek Richardson,2.066711315789474,1
Dermot Mulroney,3.948039090158731,5
Dev Patel,12.73015178888889,3
Devon Sawa,1.8440216184265008,3
Diane Keaton,2.052640016919192,8
Diane Ladd,2.063504705882353,1
Diane Lane,1.769589050340136,7
Dick Durock,0.048204,1
Diedrich Bader,2.2962088,1
Diego Luna,1.5515358799999999,2
Djimon Hounsou,1.2285955833333333,1
Dolph Lundgren,0.48892109293831176,4
Dom DeLuise,1.9637700724637681,1
Domhnall Gleeson,7.25837075,1
Dominic Cooper,0.2999064397905759,1
Don Adams,0.977469,1
Don Ameche,3.152515514285714,2
Don Cheadle,6.111364245954046,3
Don Francks,0.003797375,1
Don Johnson,0.32996113527851456,2
Donald Glover,6.425875307692308,1
Donald Pleasence,3.4082565833333334,4
Donald Sutherland,2.9213580874603173,5
